broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
dendritic cell,,MZB1,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,IGJ,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,PPP1R14B,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,CYB561A3,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,MAP1A,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,GZMB,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,MPEG1,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,PTCRA,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,SCT,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,HIGD1A,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,TRAF4,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,PLD4,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,C12orf75,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,TCL1A,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,ALOX5AP,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,SPCS1,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,OFD1,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,LTB,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,IDH3A,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,APP,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,PTGDS,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,PTPRS,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,UGCG,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,SELL,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,CLIC3,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,TCF4,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,TSPAN13,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,SPIB,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,SEC61B,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,C10orf118,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,JCHAIN,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
dendritic cell,,CCDC186,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,Plasmacytoid dendritic cell(pDC)
T cell,,CD2,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,T cell
T cell,,CD3G,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,T cell
T cell,,CD3E,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,T cell
T cell,,CD3D,Human,Pharynx,Nasopharynx,Nasopharyngeal Cancer,Cancer cell,T cell
